-17 -15
6 -60
12 18
-6 2
-24 -24
1 -1
-19 -9
-26 -20
19 5
11 9
-18 6
-26 -30
0 14
9 53
11 19
-5 -3
-11 -21
-25 -11
9 -13
15 -3
18 -36
30 22
-18 -32
24 12
-13 -59
-16 18
10 -4
-27 43
-1 -13
-3 -23
30 -32
47 -5
3 39
-60 -6
-12 38
1 -15
20 0
4 4
-16 16
27 5
-9 15
-36 8
33 5
-1 25
-17 -3
30 -10
47 3
-22 -30
29 -51
-23 -31
-1 39
4 6
-18 -14
-30 12
-17 11
-32 14
29 35
-20 -14
38 -40
18 -4
11 31
0 -22
-28 14
24 30
-10 0
23 -37
-30 16
-5 -19
-9 43
-21 7
11 17
-29 15
-12 16
19 37
11 13
-1 -19
-18 -14
-9 -9
-26 14
-5 -25
-21 11
0 -2
30 14
26 28
8 0
-3 -15
1 17
